56.89,23.53,37.38,37.89,55.37
56.29,22.90,39.62,41.12,54.23
55.84,23.90,37.96,35.26,54.61
55.36,24.47,38.95,37.10,54.22
55.84,24.17,38.37,39.29,53.84
54.84,24.09,38.26,39.96,53.03
55.25,24.70,38.75,35.13,53.98
54.72,24.36,38.92,36.52,52.85
53.63,24.26,38.32,37.53,52.57
54.92,24.57,39.68,39.18,53.77
54.40,24.70,38.00,34.87,52.87
54.71,24.67,39.01,34.15,52.25
53.79,24.60,38.08,34.40,51.51
53.49,23.87,38.43,36.47,51.40
53.09,24.19,38.85,35.75,50.74
53.33,24.19,38.12,34.58,51.00
53.75,25.22,39.23,34.92,51.48
52.83,24.64,39.32,34.90,50.43
52.80,24.02,39.87,37.23,50.37
52.39,24.78,38.07,34.44,49.84
51.40,23.93,40.05,38.43,48.83
51.28,24.16,40.05,39.48,48.53
51.16,24.43,39.43,36.24,47.78
50.84,23.15,38.23,35.27,46.41
50.31,24.48,38.02,36.56,47.60
49.33,23.15,36.13,37.03,45.74
48.44,24.04,35.51,35.76,45.53
49.00,24.13,37.65,32.64,46.07
49.33,23.38,41.20,33.92,50.26
61.51,21.80,50.30,29.58,62.59
72.09,21.31,58.05,24.09,70.41
72.06,21.65,56.83,18.44,71.34
72.75,21.37,55.86,16.10,72.09
71.87,20.82,52.85,11.77,71.07
71.14,22.95,50.23,11.20,70.54
71.24,36.07,48.19,11.09,70.16
70.50,43.47,46.76,9.72,69.78
69.62,44.42,53.05,7.58,66.33
68.99,37.19,56.80,5.48,61.35
72.71,31.48,66.65,11.91,65.82
71.38,40.34,62.23,21.15,68.90
75.80,44.45,62.78,31.68,74.55
74.30,45.34,58.22,35.53,73.71
74.52,45.44,57.49,43.65,74.45
75.22,41.29,55.37,49.14,73.56
73.21,36.31,49.89,54.06,74.22
73.13,26.57,46.98,54.70,73.52
74.28,23.29,44.85,49.90,74.45
73.46,23.97,44.44,47.21,73.00
72.70,23.89,43.48,53.01,74.11
70.63,24.29,41.62,53.31,72.81
73.99,22.92,40.56,50.44,73.60
69.95,24.56,41.18,50.55,71.15
70.59,23.49,42.67,50.77,71.33
69.87,23.53,41.50,50.52,70.69
71.26,23.34,40.99,49.94,70.62
68.92,24.45,40.13,50.88,68.82
66.75,25.21,41.99,43.74,66.70
64.45,24.53,40.49,51.58,63.49
63.07,25.41,42.44,49.71,61.42
60.03,25.44,46.68,48.22,57.54
60.18,25.45,45.95,40.13,57.67
60.04,24.38,46.91,40.25,58.13
57.11,25.15,47.95,36.44,55.64
57.70,25.64,46.80,31.23,56.45
58.36,24.65,48.52,31.19,56.20
57.76,24.25,48.81,33.55,54.65
57.96,21.86,54.41,23.19,54.54
66.83,19.04,64.11,20.74,58.00
73.60,19.75,70.07,23.87,64.17
74.47,19.78,67.74,26.02,69.25
72.95,18.03,63.74,29.02,70.25
74.34,18.43,62.75,36.12,72.82
72.17,17.75,61.47,41.05,72.29
73.41,19.95,61.39,44.90,71.22
72.96,20.75,58.43,50.58,72.74
69.89,22.46,55.34,51.35,71.32
70.11,22.98,52.88,54.01,71.04
71.43,23.12,51.75,47.87,71.38
70.48,21.84,48.77,47.70,70.54
68.81,23.09,43.48,49.02,70.10
69.42,22.34,43.69,46.86,69.28
67.47,23.48,45.13,44.19,66.37
63.62,23.08,48.53,48.30,61.83
59.91,23.52,48.35,43.59,55.70
60.58,23.70,48.63,42.38,56.46
56.66,24.59,47.69,37.18,52.93
58.30,24.16,50.86,34.93,54.13
57.95,24.94,48.80,32.30,54.61
55.33,24.72,45.14,33.21,53.23
56.07,24.12,45.81,30.17,52.33
55.53,24.32,45.78,33.49,52.53
54.83,24.83,45.06,38.19,52.54
55.37,24.43,41.89,34.64,52.97
55.78,24.21,42.81,39.58,52.35
54.75,23.74,43.23,36.53,51.29
55.21,19.89,48.31,33.03,51.37
61.97,18.64,59.22,28.01,55.85
70.93,20.77,68.25,18.44,59.40
73.58,20.08,69.04,6.02,63.78
72.55,17.79,66.34,9.25,65.22
72.73,17.72,65.99,10.59,67.82
72.30,19.63,67.52,10.42,64.66
70.33,20.22,64.71,20.08,64.88
67.76,21.06,62.98,30.26,63.79
69.70,21.18,65.56,39.17,63.28
69.81,22.32,65.74,43.17,63.04
68.66,21.99,61.74,47.30,64.91
67.65,22.59,54.69,45.05,66.63
69.45,23.31,53.17,43.64,68.50
68.53,26.09,53.46,44.02,66.37
64.08,26.31,51.97,41.74,63.21
61.36,24.45,47.64,45.20,57.31
58.94,24.70,45.37,41.07,54.46
55.58,24.29,45.08,37.16,52.51
54.40,24.21,44.91,32.69,50.89
55.01,24.31,48.08,32.50,50.32
53.01,24.14,45.14,27.80,50.11
57.91,23.08,48.05,29.59,54.85
59.12,23.98,47.74,32.46,54.44
57.83,23.29,45.98,34.87,55.11
55.91,23.83,42.80,39.46,54.77
56.49,24.54,40.42,38.24,54.44
56.36,25.40,39.31,39.05,54.55
55.79,23.63,41.04,36.36,53.54
54.94,22.38,44.37,33.43,53.44
55.72,21.14,51.43,27.83,53.68
70.41,20.44,65.52,25.15,57.36
69.52,22.23,65.44,9.55,56.79
71.03,22.09,67.23,7.58,60.38
71.22,21.03,67.51,10.42,62.59
72.14,18.97,64.80,9.41,67.74
70.54,19.75,63.75,9.45,66.31
69.45,20.78,61.02,10.26,67.03
67.31,21.47,59.37,10.89,64.67
70.82,22.50,62.70,21.12,67.35
68.17,23.57,62.40,29.17,66.48
68.53,24.64,58.34,31.74,67.97
67.96,24.54,57.13,30.79,64.92
65.89,25.70,60.24,25.42,62.33
64.78,26.56,56.69,27.55,60.68
59.13,25.88,52.54,33.81,54.46
61.15,26.07,52.45,34.23,56.43
57.20,26.05,48.59,32.50,54.37
58.86,26.11,49.48,32.71,54.41
55.31,25.55,43.88,26.28,52.48
56.72,23.63,46.34,27.60,53.03
56.46,23.31,47.24,27.92,56.63
58.29,23.66,48.29,29.61,56.92
60.09,23.14,47.00,29.36,58.66
58.25,24.10,42.95,32.66,57.44
58.30,24.90,40.26,30.15,57.23
57.71,24.63,40.57,36.34,56.79
58.94,24.01,43.94,33.33,57.93
57.61,22.86,50.66,29.69,58.78
62.69,22.94,59.01,23.53,62.70
69.66,25.50,65.10,16.09,64.87
70.71,24.20,67.05,5.03,67.19
73.92,24.13,64.80,0.26,70.74
71.91,27.03,61.72,4.13,71.51
71.05,28.16,60.01,18.70,71.81
72.32,27.81,58.32,29.22,71.08
71.07,26.07,57.30,37.13,70.68
69.11,25.04,50.78,44.91,70.54
68.80,25.49,49.10,46.23,70.09
70.58,25.95,46.96,46.78,70.11
69.10,26.85,48.86,48.37,69.84
69.51,27.68,48.43,41.42,70.15
67.85,27.74,49.44,40.15,67.17
67.12,27.80,46.95,35.28,65.42
59.34,26.47,47.19,39.26,58.54
58.97,26.34,49.26,36.79,56.21
57.93,26.78,50.57,33.60,54.14
54.99,26.04,47.09,33.29,52.50
55.14,25.52,44.41,29.63,52.91
54.18,25.27,45.78,33.04,52.63
54.98,25.03,45.82,32.89,52.49
57.26,25.33,43.13,33.51,54.52
55.44,25.27,47.12,40.72,53.99
56.69,24.94,42.01,35.97,54.78
56.57,25.22,43.18,39.90,54.06
55.57,25.90,46.33,41.45,53.59
54.69,25.36,44.89,41.76,52.76
53.74,23.51,44.80,33.36,50.48
53.99,21.54,50.39,35.36,50.31
63.50,17.81,59.43,24.76,58.55
72.32,18.60,69.01,14.30,60.38
71.97,20.47,66.24,5.00,65.21
71.53,20.12,64.33,5.01,67.70
70.53,17.66,61.41,4.97,69.66
69.52,18.00,61.60,3.10,68.94
71.18,19.18,62.31,8.66,69.79
69.27,21.10,63.19,21.38,68.07
68.32,21.94,60.87,31.64,68.89
67.48,24.21,55.69,42.53,67.40
68.91,24.73,57.61,48.35,66.67
68.06,24.20,57.55,47.73,65.41
67.90,25.17,54.61,42.60,66.47
64.18,26.11,57.11,42.16,64.04
65.14,25.57,54.75,37.20,62.65
60.41,26.12,49.92,39.99,58.51
57.63,24.83,48.41,37.14,54.61
59.65,24.33,47.34,35.60,54.91
56.95,23.72,44.44,32.54,53.03
55.61,24.41,47.22,32.43,52.43
55.46,25.42,48.02,31.87,51.71
53.75,24.51,46.16,31.26,50.08
53.04,24.24,43.46,40.31,50.40
55.69,24.57,45.45,35.27,50.48
54.86,24.60,48.53,38.15,50.15
52.46,25.36,45.33,41.21,49.35
51.23,24.10,41.82,36.81,48.64
51.88,24.45,45.62,39.26,48.14
50.90,23.79,43.37,38.40,47.25
52.32,21.84,47.58,31.75,47.72
56.12,21.08,54.63,23.72,49.51
69.45,22.85,66.83,8.24,54.04
69.17,25.24,65.85,8.19,56.82
68.62,25.63,65.14,9.43,60.18
69.81,22.94,64.21,12.19,63.26
69.95,20.47,65.71,11.04,61.27
67.64,25.99,61.28,24.57,64.08
67.62,23.97,57.39,42.50,63.06
68.35,29.90,57.89,48.30,63.03
67.89,32.29,56.71,49.94,62.65
66.39,34.19,55.26,48.19,62.71
66.25,37.29,53.63,43.04,61.92
68.23,36.87,52.68,36.18,61.13
66.63,40.71,49.21,29.80,61.62
60.09,37.52,47.53,33.55,58.73
61.43,37.56,48.44,33.53,58.16
57.37,34.15,46.83,33.51,54.04
54.54,33.03,46.35,27.44,50.52
55.57,43.22,49.31,24.21,49.79
57.60,49.30,45.77,25.70,52.59
69.24,65.90,44.45,28.17,59.91
69.76,68.63,45.49,23.34,56.83
71.02,70.39,44.27,24.67,56.89
70.73,69.70,46.13,33.04,57.06
71.13,70.62,44.54,32.88,59.20
72.61,71.21,41.35,33.37,59.50
71.37,71.33,42.95,39.15,58.73
72.06,71.11,40.84,35.25,57.94
73.17,71.93,39.99,29.16,57.59
71.97,71.44,51.64,34.02,58.91
75.00,74.05,61.83,24.24,59.20
77.28,70.97,71.31,11.75,58.13
75.20,71.88,68.36,3.81,58.86
74.15,71.85,64.39,3.43,59.04
73.96,73.32,65.92,3.94,61.39
74.18,73.12,64.66,3.24,62.37
72.41,71.66,61.00,3.71,62.80
71.03,68.99,61.06,10.60,63.49
71.38,67.10,64.92,17.48,62.95
71.75,69.32,63.71,20.11,62.63
72.29,70.90,61.16,19.26,61.80
69.90,68.96,58.44,17.70,60.00
69.91,67.90,60.23,15.73,57.40
66.57,66.15,52.07,16.97,56.68
63.48,62.69,54.75,16.00,56.23
61.39,55.10,50.04,19.31,55.54
60.89,53.85,47.49,24.33,55.21
65.76,64.42,47.01,27.56,55.02
68.73,68.40,49.45,31.68,53.32
65.46,63.91,51.19,32.21,53.05
71.20,71.25,50.20,33.01,54.12
72.93,72.58,50.06,33.10,56.64
74.36,74.27,46.26,36.33,60.37
73.82,73.63,46.49,37.15,57.84
71.72,71.61,48.12,40.71,58.31
72.80,73.16,48.73,35.24,58.19
73.41,73.09,47.33,38.58,56.34
73.52,73.41,47.51,37.97,57.96
73.35,72.77,52.19,34.59,59.56
73.22,72.25,58.28,29.31,62.49
73.29,73.10,65.69,18.76,58.59
78.41,73.64,71.52,9.78,61.95
76.20,71.94,70.85,2.45,63.53
75.36,71.77,67.13,0.74,65.09
74.90,73.49,62.67,2.22,69.34
73.51,74.11,63.09,2.91,67.99
75.54,73.82,63.41,5.05,69.48
75.33,71.71,64.10,9.17,67.82
73.07,72.45,61.03,11.96,68.49
74.52,73.32,59.78,14.99,68.48
75.11,74.82,59.29,14.20,66.04
74.04,75.57,58.75,14.47,63.25
75.62,74.94,57.63,16.16,62.24
